,o_dif,s_dif,r,trn,hit
0,50.0,50.0,-42400.0,4034.0,0.394893406048587
1,50.0,60.0,-41640.0,3844.0,0.40972944849115506
2,50.0,70.0,-43890.0,3613.0,0.413230002767783
3,50.0,80.0,-44160.0,3380.0,0.41834319526627217
4,50.0,90.0,-42570.0,3185.0,0.42574568288854003
5,50.0,100.0,-36400.0,2972.0,0.4387617765814266
6,50.0,110.0,-35420.0,2780.0,0.4420863309352518
7,50.0,120.0,-34080.0,2590.0,0.4451737451737452
8,50.0,130.0,-30030.0,2399.0,0.4518549395581492
9,50.0,140.0,-29120.0,2234.0,0.45344673231871085
10,50.0,150.0,-29400.0,2086.0,0.45302013422818793
11,50.0,160.0,-29440.0,1964.0,0.4531568228105906
12,50.0,170.0,-29750.0,1831.0,0.4522119060622611
13,50.0,180.0,-30060.0,1743.0,0.4520940906483075
14,50.0,190.0,-26790.0,1637.0,0.45693341478313987
15,50.0,200.0,-27200.0,1516.0,0.4551451187335092
16,100.0,50.0,-6250.0,1259.0,0.45035742652899124
17,100.0,60.0,-6720.0,1240.0,0.45483870967741935
18,100.0,70.0,-7560.0,1214.0,0.45551894563426687
19,100.0,80.0,-6080.0,1196.0,0.4682274247491639
20,100.0,90.0,-4770.0,1171.0,0.47736976942783943
21,100.0,100.0,-5500.0,1149.0,0.4760661444734552
22,100.0,110.0,-5500.0,1114.0,0.47755834829443444
23,100.0,120.0,-5280.0,1088.0,0.4797794117647059
24,100.0,130.0,-4420.0,1062.0,0.4839924670433145
25,100.0,140.0,-5180.0,1021.0,0.48188050930460335
26,100.0,150.0,-5400.0,994.0,0.4818913480885312
27,100.0,160.0,-6720.0,960.0,0.478125
28,100.0,170.0,-10540.0,926.0,0.46652267818574517
29,100.0,180.0,-10620.0,885.0,0.4666666666666667
30,100.0,190.0,-14060.0,840.0,0.45595238095238094
31,100.0,200.0,-13000.0,817.0,0.4602203182374541
32,150.0,50.0,-1550.0,487.0,0.4681724845995893
33,150.0,60.0,-420.0,485.0,0.4927835051546392
34,150.0,70.0,-1330.0,479.0,0.4801670146137787
35,150.0,80.0,-1440.0,476.0,0.4810924369747899
36,150.0,90.0,-270.0,473.0,0.49682875264270615
37,150.0,100.0,-800.0,468.0,0.49145299145299143
38,150.0,110.0,-440.0,468.0,0.49572649572649574
39,150.0,120.0,240.0,460.0,0.5021739130434782
40,150.0,130.0,1820.0,456.0,0.5153508771929824
41,150.0,140.0,1960.0,444.0,0.5157657657657657
42,150.0,150.0,900.0,440.0,0.5068181818181818
43,150.0,160.0,800.0,435.0,0.5057471264367817
44,150.0,170.0,850.0,427.0,0.5058548009367682
45,150.0,180.0,720.0,416.0,0.5048076923076923
46,150.0,190.0,-190.0,407.0,0.4987714987714988
47,150.0,200.0,-600.0,401.0,0.49625935162094764
48,200.0,50.0,-400.0,234.0,0.4829059829059829
49,200.0,60.0,0.0,234.0,0.5
50,200.0,70.0,840.0,234.0,0.5256410256410257
51,200.0,80.0,1040.0,233.0,0.5278969957081545
52,200.0,90.0,2070.0,233.0,0.5493562231759657
53,200.0,100.0,1700.0,233.0,0.5364806866952789
54,200.0,110.0,1210.0,231.0,0.5238095238095238
55,200.0,120.0,1440.0,230.0,0.5260869565217391
56,200.0,130.0,2210.0,227.0,0.5374449339207048
57,200.0,140.0,2380.0,223.0,0.5381165919282511
58,200.0,150.0,1950.0,223.0,0.5291479820627802
59,200.0,160.0,1760.0,221.0,0.5248868778280543
60,200.0,170.0,3230.0,219.0,0.54337899543379
61,200.0,180.0,3420.0,219.0,0.54337899543379
62,200.0,190.0,3420.0,216.0,0.5416666666666666
63,200.0,200.0,3000.0,215.0,0.5348837209302325
64,250.0,50.0,850.0,147.0,0.5578231292517006
65,250.0,60.0,1380.0,147.0,0.5782312925170068
66,250.0,70.0,2030.0,147.0,0.5986394557823129
67,250.0,80.0,3040.0,146.0,0.6301369863013698
68,250.0,90.0,3690.0,145.0,0.6413793103448275
69,250.0,100.0,3400.0,144.0,0.6180555555555556
70,250.0,110.0,3520.0,144.0,0.6111111111111112
71,250.0,120.0,3960.0,143.0,0.6153846153846154
72,250.0,130.0,3510.0,143.0,0.5944055944055944
73,250.0,140.0,3080.0,142.0,0.5774647887323944
74,250.0,150.0,2400.0,142.0,0.5563380281690141
75,250.0,160.0,1920.0,140.0,0.5428571428571428
76,250.0,170.0,2040.0,140.0,0.5428571428571428
77,250.0,180.0,1800.0,138.0,0.5362318840579711
78,250.0,190.0,2090.0,137.0,0.5401459854014599
79,250.0,200.0,2000.0,136.0,0.5367647058823529
80,300.0,50.0,800.0,102.0,0.5784313725490197
81,300.0,60.0,1200.0,102.0,0.5980392156862745
82,300.0,70.0,1540.0,102.0,0.6078431372549019
83,300.0,80.0,1600.0,102.0,0.5980392156862745
84,300.0,90.0,1800.0,102.0,0.5980392156862745
85,300.0,100.0,2400.0,102.0,0.6176470588235294
86,300.0,110.0,3080.0,102.0,0.6372549019607843
87,300.0,120.0,3360.0,102.0,0.6372549019607843
88,300.0,130.0,3250.0,101.0,0.6237623762376238
89,300.0,140.0,3500.0,101.0,0.6237623762376238
90,300.0,150.0,3000.0,100.0,0.6
91,300.0,160.0,3040.0,99.0,0.5959595959595959
92,300.0,170.0,3230.0,99.0,0.5959595959595959
93,300.0,180.0,3240.0,98.0,0.5918367346938775
94,300.0,190.0,3040.0,98.0,0.5816326530612245
95,300.0,200.0,2800.0,98.0,0.5714285714285714
96,350.0,50.0,650.0,75.0,0.5866666666666667
97,350.0,60.0,900.0,75.0,0.6
98,350.0,70.0,910.0,75.0,0.5866666666666667
99,350.0,80.0,1200.0,75.0,0.6
100,350.0,90.0,1350.0,75.0,0.6
101,350.0,100.0,1700.0,75.0,0.6133333333333333
102,350.0,110.0,2090.0,75.0,0.6266666666666667
103,350.0,120.0,2040.0,75.0,0.6133333333333333
104,350.0,130.0,2210.0,75.0,0.6133333333333333
105,350.0,140.0,2380.0,75.0,0.6133333333333333
106,350.0,150.0,2550.0,75.0,0.6133333333333333
107,350.0,160.0,3360.0,75.0,0.64
108,350.0,170.0,3910.0,75.0,0.6533333333333333
109,350.0,180.0,3420.0,73.0,0.6301369863013698
110,350.0,190.0,3610.0,73.0,0.6301369863013698
111,350.0,200.0,3000.0,73.0,0.6027397260273972
112,400.0,50.0,350.0,57.0,0.5614035087719298
113,400.0,60.0,540.0,57.0,0.5789473684210527
114,400.0,70.0,630.0,57.0,0.5789473684210527
115,400.0,80.0,880.0,57.0,0.5964912280701754
116,400.0,90.0,990.0,57.0,0.5964912280701754
117,400.0,100.0,1100.0,57.0,0.5964912280701754
118,400.0,110.0,1430.0,57.0,0.6140350877192983
119,400.0,120.0,1800.0,57.0,0.631578947368421
120,400.0,130.0,2210.0,57.0,0.6491228070175439
121,400.0,140.0,2660.0,57.0,0.6666666666666666
122,400.0,150.0,2850.0,57.0,0.6666666666666666
123,400.0,160.0,3040.0,57.0,0.6666666666666666
124,400.0,170.0,2890.0,57.0,0.6491228070175439
125,400.0,180.0,2520.0,56.0,0.625
126,400.0,190.0,2660.0,56.0,0.625
127,400.0,200.0,2600.0,55.0,0.6181818181818182
128,450.0,50.0,50.0,43.0,0.5116279069767442
129,450.0,60.0,180.0,43.0,0.5348837209302325
130,450.0,70.0,350.0,43.0,0.5581395348837209
131,450.0,80.0,560.0,43.0,0.5813953488372093
132,450.0,90.0,810.0,43.0,0.6046511627906976
133,450.0,100.0,900.0,43.0,0.6046511627906976
134,450.0,110.0,990.0,43.0,0.6046511627906976
135,450.0,120.0,1080.0,43.0,0.6046511627906976
136,450.0,130.0,1690.0,43.0,0.6511627906976745
137,450.0,140.0,1820.0,43.0,0.6511627906976745
138,450.0,150.0,1950.0,43.0,0.6511627906976745
139,450.0,160.0,1600.0,42.0,0.6190476190476191
140,450.0,170.0,1700.0,42.0,0.6190476190476191
141,450.0,180.0,1800.0,42.0,0.6190476190476191
142,450.0,190.0,1900.0,42.0,0.6190476190476191
143,450.0,200.0,2000.0,42.0,0.6190476190476191
144,500.0,50.0,-100.0,32.0,0.46875
145,500.0,60.0,-120.0,32.0,0.46875
146,500.0,70.0,-140.0,32.0,0.46875
147,500.0,80.0,160.0,32.0,0.53125
148,500.0,90.0,360.0,32.0,0.5625
149,500.0,100.0,400.0,32.0,0.5625
150,500.0,110.0,440.0,32.0,0.5625
151,500.0,120.0,480.0,32.0,0.5625
152,500.0,130.0,520.0,32.0,0.5625
153,500.0,140.0,560.0,32.0,0.5625
154,500.0,150.0,600.0,32.0,0.5625
155,500.0,160.0,640.0,32.0,0.5625
156,500.0,170.0,1020.0,32.0,0.59375
157,500.0,180.0,1080.0,32.0,0.59375
158,500.0,190.0,760.0,32.0,0.5625
159,500.0,200.0,800.0,32.0,0.5625
